group,function,value,sample_time_nanos,iteration_count
[6d87c1b] 1+1 10000 times,,16384,56385501.0,70661098
[6d87c1b] 1+1 10000 times,,16384,190316179.0,141322196
[6d87c1b] 1+1 10000 times,,16384,291533622.0,211983294
[6d87c1b] 1+1 10000 times,,16384,391668460.0,282644392
[6d87c1b] 1+1 10000 times,,16384,479097781.0,353305490
[6d87c1b] 1+1 10000 times,,16384,572052694.0,423966588
[6d87c1b] 1+1 10000 times,,16384,653036480.0,494627686
[6d87c1b] 1+1 10000 times,,16384,759704054.0,565288784
[6d87c1b] 1+1 10000 times,,16384,892635754.0,635949882
[6d87c1b] 1+1 10000 times,,16384,1013523584.0,706610980
